"species","order","LogBrain","LogBody","BrainResidual","BehaviorCategories","MigratoryDistance","SnowWeeks","EVI.BreedingSite(Winter)","EVI.BreedingSite(Summer)","EVI.NonBreedingSite(Winter)","CV(EVI)Intra-year","CV(EVI)Among-years","PPC1","PPC2","FruitConsumer","InsectConsumer","ForestDweller","DietBreadth","Incubation","Fledging","DevelopmentalMode","SocialMatingSystem","ColonialBreeding","SocialForaging","calculated_brain_volume","calculated_brain_mass"
"Abroscopus_albogularis","PASSERIFORMES",-1.079,1.609,0.143,"Resident.MidLat",0,"4.2000000000000003E-2","1.5309999999999999","1.6339999999999999","1.5309999999999999","0.03","1.0999999999999999E-2","1.7669999999999999","-0.504","0","1","1","0","NA","NA","altricial","Monogamous","Solitary","Aggregation",0.33993529102496,0.310451693676503
"Acanthagenys_rufogularis","PASSERIFORMES",0.144,3.915,0.164,"Resident.MidLat",0,"0","1.35","1.3560000000000001","1.35","7.0000000000000001E-3","8.9999999999999993E-3","-3.0670000000000002","-0.50900000000000001","1","1","1","0.17","14.5","16.5","altricial","Facultative","Solitary","Aggregation",1.15488410852491,1.05471757995645
"Acanthiza_chrysorrhoa","PASSERIFORMES",-0.777,2.303,0.09,"Resident.MidLat",0,"8.0000000000000002E-3","1.3759999999999999","1.3720000000000001","1.3759999999999999","8.0000000000000002E-3","0.01","-2.4630000000000001","-8.7999999999999995E-2","0","1","1","0.152","16.399999999999999","18.5","altricial","Polygamous","Solitary","Aggregation",0.459783294230565,0.419904923633127
"Acanthiza_ewingii","PASSERIFORMES",-0.462,1.386,0.874,"Resident.HighLat",0,"0.41799999999999998","1.5469999999999999","1.522","1.5469999999999999","1.2E-2","1.4999999999999999E-2","1.5389999999999999","2.1190000000000002","0","1","1","0.17299999999999999","NA","NA","altricial","Monogamous","Solitary","Aggregation",0.630022339941912,0.575378631324979
"Acanthiza_inornata","PASSERIFORMES",-0.821,2.14,0.128,"Resident.MidLat",0,"1E-3","1.5309999999999999","1.4119999999999999","1.5309999999999999","2.4E-2","1.2E-2","0.90400000000000003","0.2","0","1","1","0.13100000000000001","NA","NA","altricial","NA","NA","NA",0.439991442993934,0.401829678433138
"Acanthiza_lineata","PASSERIFORMES",-0.664,1.906,0.405,"Resident.MidLat",0,"8.0000000000000002E-3","1.508","1.4650000000000001","1.508","1.6E-2","1.4999999999999999E-2","1.129","2.944","0","1","1","9.6000000000000002E-2","16.3","18.5","altricial","Monogamous","Solitary","Aggregation",0.514788058456836,0.470138961301987
"Acanthiza_nana","PASSERIFORMES",-0.994,1.981,0.036,"Resident.MidLat",0,"4.0000000000000001E-3","1.4350000000000001","1.429","1.4350000000000001","1.2E-2","1.2999999999999999E-2","-0.56499999999999995","1.679","0","1","1","0.153","NA","NA","altricial","NA","NA","NA",0.370093352911961,0.337994057291032
"Acanthiza_pusilla","PASSERIFORMES",-0.817,1.89,0.26,"Resident.MidLat",0,"3.2000000000000001E-2","1.5069999999999999","1.4750000000000001","1.5069999999999999","1.6E-2","1.4999999999999999E-2","1.131","2.8460000000000001","0","1","1","0.106","18.100000000000001","15.7","altricial","Monogamous","Solitary","Aggregation",0.441754933395392,0.403440216074771
"Acanthiza_reguloides","PASSERIFORMES",-0.904,2.015,0.109,"Resident.MidLat",0,"4.0000000000000001E-3","1.448","1.444","1.448","1.2999999999999999E-2","1.2999999999999999E-2","-0.28799999999999998","1.7949999999999999","0","1","1","0.253","13.2","15.2","altricial","Monogamous","Solitary","Aggregation",0.404946629326505,0.369824405533033
"Acanthiza_uropygialis","PASSERIFORMES",-0.994,1.872,0.092,"Resident.MidLat",0,"1E-3","1.35","1.349","1.35","7.0000000000000001E-3","8.9999999999999993E-3","-3.0270000000000001","-0.442","0","1","0","0.152","NA","NA","altricial","Monogamous","Solitary","Bonded",0.370093352911961,0.337994057291032
