Class,Order,Family,Genus,spp,Species,clutch.size,max.longevity,incubation,dev.mode,fledging.age,brain.mass.g,egg.mass,body.mass,specimen.origin,qc,sample.size,references,Source
Aves,Passeriformes,Meliphagidae,Acanthorhynchus,tenuirostris,Acanthorhynchus_tenuirostris,2.1,14,14.4,A,13.7,0.49728,1.79,9.7875,NA,NA,NA,"1,_2_&_3",Brain_size_and_life_history
Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,Accipiter_cooperii,4.35,20.33333333,29.75,SA,32,4.8692,40,452,wild,acceptable,medium,"1,_2_&_3",Brain_size_and_life_history
Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,Accipiter_gentilis,3.5,22,34.75,SA,41.65,8.16368,58,988.75,wild,acceptable,medium,"1,_2_&_3",Brain_size_and_life_history
Aves,Accipitriformes,Accipitridae,Accipiter,striatus,Accipiter_striatus,4.25,19.9,33,SA,24.25,2.31028,19.3,138.5,wild,acceptable,medium,"1,_2_&_3",Brain_size_and_life_history
Aves,Passeriformes,Sturnidae,Acridotheres,tristis,Acridotheres_tristis,4.5,6.083333333,17.5,A,23,2.56928,7.1,113.5,NA,NA,NA,"1,_2_&_3",Brain_size_and_life_history
Aves,Passeriformes,Acrocephalidae,Acrocephalus,arundinaceus,Acrocephalus_arundinaceus,4.2,10.08333333,14.5,A,16,0.94276,3.15,30.175,wild,acceptable,medium,"1,_2_&_3",Brain_size_and_life_history
Aves,Passeriformes,Acrocephalidae,Acrocephalus,schoenobaenus,Acrocephalus_schoenobaenus,5.5,11.83333333,13.5,A,13.5,0.4662,1.65,11.9,wild,acceptable,medium,"1,_2_&_3",Brain_size_and_life_history
Aves,Charadriiformes,Scolopacidae,Actitis,hypoleucos,Actitis_hypoleucos,4,14.5,21.5,P,17.5,0.89096,12.5,48,wild,acceptable,medium,"1,_2_&_3",Brain_size_and_life_history
Aves,Charadriiformes,Scolopacidae,Actitis,macularius,Actitis_macularius,4,12,20.5,P,17.25,0.70448,9,41.85833333,wild,acceptable,small,"1,_2_&_3",Brain_size_and_life_history
Aves,Podicipediformes,Podicipedidae,Aechmophorus,occidentalis,Aechmophorus_occidentalis,3,14,23,P,70,3.84356,43.5,1314,wild,acceptable,small,"1,_2_&_3",Brain_size_and_life_history
Aves,Strigiformes,Strigidae,Aegolius,acadicus,Aegolius_acadicus,5.5,17.5,27,SA,30.25,3.48096,10.2,95.625,unknown,acceptable,medium,"1,_2_&_3",Brain_size_and_life_history
Aves,Strigiformes,Strigidae,Aegolius,funereus,Aegolius_funereus,5.145,15.9,27.75,SA,31.7,4.16472,12.5,131.5,unknown,acceptable,medium,"1,_2_&_3",Brain_size_and_life_history
Aves,Apodiformes,Apodidae,Aeronautes,saxatalis,Aeronautes_saxatalis,4.35,10,24,A,43,0.69412,2.1,31.95,wild,acceptable,medium,"1,_2_&_3",Brain_size_and_life_history
Aves,Charadriiformes,Alcidae,Aethia,pusilla,Aethia_pusilla,1,8.1,30,SP,32,1.53328,17.2,85,wild,acceptable,medium,"1,_2_&_3",Brain_size_and_life_history
Aves,Psittaciformes,Psittacidae,Agapornis,fischeri,Agapornis_fischeri,5.5,12.6,22.85,A,38.4,2.0202,3.6,48.3,captivity,questionable,large,"1,_2_&_3",Brain_size_and_life_history
Aves,Psittaciformes,Psittacidae,Agapornis,lilianae,Agapornis_lilianae,5.7,19.2,22,A,44.2,1.58508,3.05,37.3,captivity,acceptable,medium,"1,_2_&_3",Brain_size_and_life_history
Aves,Psittaciformes,Psittacidae,Agapornis,pullarius,Agapornis_pullarius,4.5,18,23,A,45.5,1.49184,3.25,39.5,captivity,acceptable,small,"1,_2_&_3",Brain_size_and_life_history
Aves,Psittaciformes,Psittacidae,Agapornis,taranta,Agapornis_taranta,5,14.6,25.5,A,49.3,2.05128,8.7,57.5,captivity,acceptable,tiny,"1,_2_&_3",Brain_size_and_life_history
Aves,Passeriformes,Icteridae,Agelaius,phoeniceus,Agelaius_phoeniceus,3.3,20,12,A,16.05,1.75084,4.025,54,unknown,acceptable,medium,"1,_2_&_3",Brain_size_and_life_history
Aves,Passeriformes,Ptilonorhynchidae,Ailuroedus,crassirostris,Ailuroedus_crassirostris,2,4,23.5,A,21,4.15436,21.6,207,NA,NA,NA,"1,_2_&_3",Brain_size_and_life_history
Aves,Passeriformes,Ptilonorhynchidae,Ailuroedus,melanotis,Ailuroedus_melanotis,2,4,22.5,A,19.5,4.560203017,21.6,165.0089971,NA,NA,NA,"1,_2_&_3",Brain_size_and_life_history
Aves,Anseriformes,Anatidae,Aix,galericulata,Aix_galericulata,10.5,10,29,P,42.5,4.37192,41,560,wild,questionable,small,"1,_2_&_3",Brain_size_and_life_history
