Species,Family,Order,Wing_length,Mass,Habitat,Trophic_level,Trophic_niche,HWI,Raw_CRB,Raw_certainty,CRB,Certainty,CRB_Final,brain_volume_mm3
Abroscopus_albogularis,Scotocercidae,Passeriformes,43.4,4.8,Forest,Carnivore,Invertivore,13.3,,,0,0,NA,
Abroscopus_schisticeps,Scotocercidae,Passeriformes,47.1,4.7,Forest,Carnivore,Invertivore,16.1,,,0,0,NA,
Abroscopus_superciliaris,Scotocercidae,Passeriformes,51.2,6.5,Shrubland,Carnivore,Invertivore,12.7,,,0,0,NA,
Acanthagenys_rufogularis,Meliphagidae,Passeriformes,111.1,47.8,Shrubland,Omnivore,Omnivore,23.2,1,0,1,0,0,
Acanthidops_bairdi,Thraupidae,Passeriformes,66,16,Forest,Omnivore,Invertivore,17,0,0,0,0,NA,
Acanthidops_bairdi,Thraupidae,Passeriformes,66,16,Forest,Omnivore,Invertivore,17,,,0,0,NA,
Acanthis_flammea,Fringillidae,Passeriformes,75.8,13,Forest,Herbivore,Granivore,33.1,1,1,1,1,1,
Acanthoptila_nipalensis__,Leiotrichidae,Passeriformes,82.2,61,Shrubland,Carnivore,Invertivore,5.7,,,0,0,NA,
Acanthorhynchus_superciliosus,Meliphagidae,Passeriformes,61.3,9.7,Shrubland,Herbivore,Nectarivore,15.9,,,0,0,NA,
Acanthorhynchus_tenuirostris,Meliphagidae,Passeriformes,65.6,10.4,Forest,Omnivore,Nectarivore,20.6,1,0,1,0,0,489
Accipiter_albogularis,Accipitridae,Accipitriformes,235.2,248.8,,Carnivore,Vertivore,33.9,0,1,0,1,0,
Accipiter_badius,Accipitridae,Accipitriformes,186.7,131.2,,Carnivore,Vertivore,32.9,0,1,0,1,0,
Accipiter_bicolor,Accipitridae,Accipitriformes,229.6,287.5,,Carnivore,Vertivore,24.6,0,1,0,1,0,
Accipiter_brachyurus,Accipitridae,Accipitriformes,202.2,142,,Carnivore,Vertivore,31.7,0,1,0,1,0,
Accipiter_brevipes,Accipitridae,Accipitriformes,217.6,186.5,,Carnivore,Vertivore,40.2,0,0,0,0,NA,
Accipiter_butleri,Accipitridae,Accipitriformes,166,122,,Carnivore,Vertivore,25.8,0,0,0,0,NA,
Accipiter_castanilius,Accipitridae,Accipitriformes,163.5,157.5,,Carnivore,Vertivore,24,0,0,0,0,NA,
Accipiter_cirrocephalus,Accipitridae,Accipitriformes,213,165.7,,Carnivore,Vertivore,37.8,0,1,0,1,0,"4,875.48"
Accipiter_collaris,Accipitridae,Accipitriformes,165.9,97.8,,Carnivore,Vertivore,30,0,0,0,0,NA,
Accipiter_cooperii,Accipitridae,Accipitriformes,241.2,429.7,,Carnivore,Vertivore,32.3,0,1,0,1,0,
