"Species","Family","Order","Mass","Trophic_level","HWI","brain_mass_g","CRB_Final","mass_kg"
"Acanthagenys_rufogularis","Meliphagidae","Passeriformes",47.8,"Omnivore",23.2,1.20176,0,0.0478
"Acanthis_flammea","Fringillidae","Passeriformes",13,"Herbivore",33.1,NA,1,0.013
"Acanthorhynchus_tenuirostris","Meliphagidae","Passeriformes",10.4,"Omnivore",20.6,0.49728,0,0.0104
"Accipiter_albogularis","Accipitridae","Accipitriformes",248.8,"Carnivore",33.9,NA,0,0.2488
"Accipiter_badius","Accipitridae","Accipitriformes",131.2,"Carnivore",32.9,NA,0,0.1312
"Accipiter_bicolor","Accipitridae","Accipitriformes",287.5,"Carnivore",24.6,NA,0,0.2875
"Accipiter_brachyurus","Accipitridae","Accipitriformes",142,"Carnivore",31.7,NA,0,0.142
"Accipiter_cirrocephalus","Accipitridae","Accipitriformes",165.7,"Carnivore",37.8,2.47604,0,0.1657
"Accipiter_cooperii","Accipitridae","Accipitriformes",429.7,"Carnivore",32.3,4.8692,0,0.4297
"Accipiter_gentilis","Accipitridae","Accipitriformes",866,"Carnivore",36.3,8.16368,0,0.866
"Accipiter_nisus","Accipitridae","Accipitriformes",220.8,"Carnivore",35.5,NA,0,0.2208
"Accipiter_soloensis","Accipitridae","Accipitriformes",164.8,"Carnivore",39,NA,1,0.1648
"Accipiter_striatus","Accipitridae","Accipitriformes",130.6,"Carnivore",30.7,2.31028,0,0.1306
"Acridotheres_cristatellus","Sturnidae","Passeriformes",116.3,"Omnivore",24.1,NA,1,0.1163
"Acridotheres_ginginianus","Sturnidae","Passeriformes",72,"Omnivore",24.3,NA,1,0.072
"Acridotheres_grandis","Sturnidae","Passeriformes",98.9,"Omnivore",24.9,NA,1,0.0989
"Acridotheres_javanicus","Sturnidae","Passeriformes",93.5,"Omnivore",21.3,NA,1,0.0935
"Acridotheres_melanopterus","Sturnidae","Passeriformes",89,"Herbivore",22.9,NA,1,0.089
"Acridotheres_tristis","Sturnidae","Passeriformes",116.4,"Carnivore",23.6,2.56928,1,0.1164
"Aegolius_acadicus","Strigidae","Strigiformes",100.7,"Carnivore",29.8,3.48096,0,0.1007
"Aegolius_funereus","Strigidae","Strigiformes",137.2,"Carnivore",31.5,4.16472,0,0.1372
"Aegypius_monachus","Accipitridae","Accipitriformes",9320.6,"Scavenger",41.1,NA,1,9.3206
"Aethopyga_boltoni","Nectariniidae","Passeriformes",7.1,"Omnivore",16.9,NA,0,0.0071
"Agapornis_canus","Psittacidae","Psittaciformes",30,"Herbivore",45.2,NA,1,0.03
"Agapornis_fischeri","Psittacidae","Psittaciformes",48.3,"Herbivore",40.4,2.0202,0,0.0483
"Agapornis_lilianae","Psittacidae","Psittaciformes",37.3,"Herbivore",37,1.58508,1,0.0373
"Agapornis_nigrigenis","Psittacidae","Psittaciformes",40.5,"Herbivore",42.5,NA,1,0.0405
"Agapornis_personatus","Psittacidae","Psittaciformes",52.4,"Herbivore",41.3,1.7811746,0,0.0524
"Agapornis_pullarius","Psittacidae","Psittaciformes",39.3,"Herbivore",39.4,1.49184,1,0.0393
"Agapornis_roseicollis","Psittacidae","Psittaciformes",53.8,"Herbivore",40.7,1.735460914,1,0.0538
"Agapornis_taranta","Psittacidae","Psittaciformes",57.5,"Herbivore",38.6,2.05128,1,0.0575
"Agelaius_assimilis","Icteridae","Passeriformes",47.7,"Omnivore",22.9,NA,1,0.0477
"Agelaius_phoeniceus","Icteridae","Passeriformes",50.8,"Herbivore",24,1.75084,1,0.0508
"Agelaius_tricolor","Icteridae","Passeriformes",57.9,"Omnivore",31.2,NA,1,0.0579
"Agelaius_xanthomus","Icteridae","Passeriformes",38.4,"Omnivore",21,NA,1,0.0384
"Agropsar_sturninus","Sturnidae","Passeriformes",49.4,"Omnivore",37.9,NA,1,0.0494
"Aimophila_ruficeps","Passerellidae","Passeriformes",18.7,"Herbivore",12.8,NA,1,0.0187
"Alexandrinus_krameri","Psittacidae","Psittaciformes",116.1,"Herbivore",47.7,NA,1,0.1161
"Alipiopsitta_xanthops","Psittacidae","Psittaciformes",159,"Herbivore",26.7,NA,1,0.159
"Alisterus_amboinensis","Psittacidae","Psittaciformes",153,"Herbivore",39.7,NA,0,0.153
"Alisterus_chloropterus","Psittacidae","Psittaciformes",156,"Herbivore",40.5,NA,0,0.156
"Alisterus_scapularis","Psittacidae","Psittaciformes",232.3,"Herbivore",46.8,4.64128,1,0.2323
"Amazona_aestiva","Psittacidae","Psittaciformes",451,"Herbivore",26.5,8.53664,1,0.451
"Amazona_agilis","Psittacidae","Psittaciformes",213,"Herbivore",32.5,NA,1,0.213
"Amazona_albifrons","Psittacidae","Psittaciformes",206,"Herbivore",33.7,4.793558485,1,0.206
"Amazona_amazonica","Psittacidae","Psittaciformes",370,"Herbivore",28.2,8.58844,1,0.37
"Amazona_auropalliata","Psittacidae","Psittaciformes",476.9,"Herbivore",31.8,9.91452,1,0.4769
"Amazona_autumnalis","Psittacidae","Psittaciformes",416,"Herbivore",31,7.465355368,1,0.416
"Amazona_barbadensis","Psittacidae","Psittaciformes",270,"Herbivore",34,NA,1,0.27
"Amazona_brasiliensis","Psittacidae","Psittaciformes",430,"Herbivore",25,NA,1,0.43
"Amazona_collaria","Psittacidae","Psittaciformes",187,"Herbivore",34.2,NA,1,0.187
"Amazona_dufresniana","Psittacidae","Psittaciformes",623,"Herbivore",30.4,NA,1,0.623
"Amazona_farinosa","Psittacidae","Psittaciformes",626,"Herbivore",27.9,9.405296936,1,0.626
"Amazona_festiva","Psittacidae","Psittaciformes",430,"Herbivore",29,NA,0,0.43
"Amazona_finschi","Psittacidae","Psittaciformes",302,"Herbivore",36.5,NA,1,0.302
"Amazona_guildingii","Psittacidae","Psittaciformes",646,"Herbivore",31.4,NA,1,0.646
"Amazona_leucocephala","Psittacidae","Psittaciformes",235.3,"Herbivore",33.8,4.610208272,1,0.2353
"Amazona_lilacina","Psittacidae","Psittaciformes",416,"Herbivore",26.7,NA,1,0.416
"Amazona_mercenarius","Psittacidae","Psittaciformes",340,"Herbivore",32.4,NA,1,0.34
"Amazona_ochrocephala","Psittacidae","Psittaciformes",476.9,"Herbivore",28.3,8.95104,1,0.4769
"Amazona_oratrix","Psittacidae","Psittaciformes",476.9,"Herbivore",34.8,8.93032,1,0.4769
"Amazona_pretrei","Psittacidae","Psittaciformes",272.8,"Herbivore",26.2,NA,1,0.2728
"Amazona_rhodocorytha","Psittacidae","Psittaciformes",474.3,"Herbivore",29.9,NA,1,0.4743
"Amazona_tucumana","Psittacidae","Psittaciformes",260,"Herbivore",38.5,NA,1,0.26
"Amazona_ventralis","Psittacidae","Psittaciformes",214,"Herbivore",37,NA,1,0.214
"Amazona_vinacea","Psittacidae","Psittaciformes",254,"Herbivore",31.6,6.816001669,1,0.254
"Amazona_viridigenalis","Psittacidae","Psittaciformes",316,"Herbivore",36.4,NA,1,0.316
"Amazona_vittata","Psittacidae","Psittaciformes",279.3,"Herbivore",33.4,5.340253023,0,0.2793
"Amazona_xantholora","Psittacidae","Psittaciformes",217,"Herbivore",40.3,NA,1,0.217
"Ammodramus_savannarum","Passerellidae","Passeriformes",17.6,"Omnivore",21.1,0.6734,0,0.0176
"Ammospiza_caudacuta","Passerellidae","Passeriformes",19.2,"Carnivore",18.9,NA,0,0.0192
